OA11CD,LSOA11CD,LAD11NM,LSOA11NM,POPDEN,AVHHOLDSZ,OA_Area,VM1_q,VM3_q,VM4_q,VM5_q,VM6_q,VM7_q,ENG_q,RENT_q,BAME_q,TEMP_q,Croydon_In,Cr_woodlan,Cr_greensp,Area_Canop,%_Canopy O,Education_,Nursing_5,Hospital_5,NationalRo,RegionalRo,RailBuffer,Station_5,Q_Industri,Q_woodland,Q_greenspa,Q_CanopyOu,MaxAvLST,MaxAvLST_q,Roads_comb,PU5_q,PO75_q,Poll_q,VM2_q,Basement_5,Roof_Count,Q_Roof_Cou,VM2,VM3,VM4,VM5,VM6,VM7,PU5,PU75,ENG,RENT,BAME,TEMP,Hosp_Count,Rail_Count,Nursing_Co,School_Cou,Adapt_A,Adapt_B,Adapt_C,Adapt_D,Adapt_E,Adapt_F,Adapt_G,Adapt_H,Adapt_I,Adapt_J,Adapt_K,Adapt_L,Adapt_M,Adapt_N,Adapt_O,Adapt_P,Adapt_Q,Adapt_R,Adapt_S,Adapt_T,Adapt_U
E00005376,E01001078,Croydon,Croydon 032D,78.6000,2.7000,39579.653,"5","1","1","4","1","2","3","5","2","5",0.000000000000000,0.000000000000000,0.000000000000000,2402.041,6.07,0,0,0,0,0,0,0,1,5,5,4,33.502021789550781,2,,"2","3","1","5",0,2,3,5.805000000000000,9.701908111572266,21.482120513916016,0.012383651693343,59.678248786544039,30.000000000000000,5.260000000000000,5.540000000000000,2.060000000000000,44.200000000000003,35.869999999999997,18.143687733071893,0,0,0,0,20,10,15,10,18,7,12,9,14,12,15,8,11,9,3,4,14,14,12,12,10
E00005027,E01001011,Croydon,Croydon 019E,181.8000,2.7000,18904.565,"4","5","5","3","5","5","5","4","5","5",0.000000000000000,0.000000000000000,1.761743718396407,1674.825,8.86,0,0,0,0,4,0,0,1,5,2,3,35.976179395403179,5,3,"5","1","5","5",0,6,4,7.084000000000000,11.134830474853516,30.579809188842773,0.010129572680128,14.182848833991009,100.000000000000000,9.260000000000000,2.370000000000000,6.210000000000000,28.420000000000002,76.920000000000002,18.154664527831414,0,0,0,0,31,23,27,12,25,11,15,12,16,13,14,16,14,14,13,18,22,22,17,17,10
E00005949,E01001192,Croydon,Croydon 008E,132.6000,2.1000,18144.619,"4","3","3","4","3","4","3","4","4","5",0.000000000000000,0.000000000000000,2.925040037733981,1090.627,6.01,0,0,0,0,0,0,0,1,5,2,4,36.132392120361331,5,,"3","2","3","3",0,2,3,17.263999999999999,10.408450126647949,25.402200698852539,0.015361144942480,39.109189024774466,74.000000000000000,6.420000000000000,3.710000000000000,2.300000000000000,24.710000000000001,59.689999999999998,18.206903797213265,0,0,0,0,27,19,23,11,24,10,14,12,16,13,13,13,14,11,8,11,19,19,16,16,11
E00005948,E01001194,Croydon,Croydon 045D,173.7000,2.5000,19361.750,"3","3","3","1","1","1","3","3","3","5",0.000000000000000,0.000000000000000,0.000000000000000,653.351,3.37,0,0,0,0,0,0,0,1,5,5,5,36.845602671305336,5,,"5","1","3","3",0,0,1,17.795999999999999,10.374620437622070,25.304649353027344,0.004584349679016,70.783906627024692,0.000000000000000,7.600000000000000,3.520000000000000,2.400000000000000,9.060000000000000,45.930000000000000,18.186933107141758,0,0,0,0,17,11,14,5,16,11,14,7,10,11,12,12,12,7,6,9,17,17,12,12,9
E00005656,E01001137,Croydon,Croydon 001A,50.2000,1.7000,48248.321,"3","3","3","2","4","4","2","3","2","3",0.000000000000000,8.342144683732746,12.856159415401846,19350.759,40.11,0,0,0,0,4,0,0,1,1,1,1,33.914476712544761,2,3,"5","3","3","1",5,3,4,38.707000000000001,10.417840003967285,25.549310684204102,0.005922617129146,26.609956017059872,72.000000000000000,8.600000000000000,6.300000000000000,1.840000000000000,13.420000000000000,36.609999999999999,18.010743385199557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005296,E01001062,Croydon,Croydon 026A,7.3000,2.5000,467657.682,"2","2","2","1","1","3","2","1","2","5",0.000000000000000,54.055464086770613,67.181357999968284,151855.577,32.47,5,0,0,0,0,0,0,1,1,1,1,31.385004933675130,1,,"1","5","2","2",5,0,1,23.719999999999999,10.115150451660156,23.765750885009766,0.002322997433059,52.894442543428525,54.000000000000000,3.460000000000000,17.280000000000001,1.360000000000000,3.420000000000000,38.430000000000000,18.206021294342733,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005297,E01001064,Croydon,Croydon 026C,3.9000,2.6000,831545.946,"1","2","2","1","3","1","1","1","2","2",0.000000000000000,98.260851402216957,57.779427463738699,446484.284,53.69,0,0,0,0,4,0,0,1,1,1,1,30.998484487118930,1,3,"1","5","2","1",0,0,1,42.969000000000001,9.844994544982910,22.065479278564453,0.000708165056919,41.349177454944915,0.000000000000000,4.230000000000002,12.140000000000001,0.950000000000000,0.980000000000000,41.939999999999998,17.977560573945432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005216,E01001043,Croydon,Croydon 027B,131.1000,2.2000,23588.110,"4","4","3","3","5","5","4","4","4","3",0.000000000000000,0.000000000000000,0.000000000000000,3607.348,15.29,5,0,0,0,4,0,0,1,5,5,2,34.994206237792966,4,3,"5","1","4","5",0,4,4,6.319000000000000,10.559749603271484,25.482429504394531,0.008493472402401,8.138878256534699,100.000000000000000,8.960000000000004,0.960000000000000,3.470000000000000,20.960000000000001,56.320000000000000,17.998127750159234,0,0,0,1,34,26,30,12,28,10,14,11,15,12,14,15,13,13,12,16,25,25,20,20,14
E00005295,E01001064,Croydon,Croydon 026C,2.9000,2.5000,1095108.610,"1","2","2","1","3","1","1","1","2","2",0.000000000000000,98.487359911308729,22.884194794561633,717478.575,65.52,5,0,0,0,4,5,5,1,1,1,1,30.538742065429688,1,3,"1","5","2","1",0,3,4,42.969000000000001,9.844994544982910,22.065479278564453,0.000708165056919,41.349177454944915,0.000000000000000,4.230000000000002,12.140000000000001,0.950000000000000,0.980000000000000,41.939999999999998,17.977560573945432,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005217,E01001047,Croydon,Croydon 027D,112.7000,2.0000,20419.340,"2","5","4","4","4","5","4","3","3","3",0.000000000000000,0.000000000000000,0.000000000000000,1507.928,7.38,0,0,0,0,4,0,0,1,5,5,4,34.422038269042972,3,3,"4","2","4","2",5,8,5,18.785000000000000,10.823539733886719,27.309230804443359,0.012050714038257,28.844890389822002,100.000000000000000,7.440000000000000,4.320000000000001,3.800000000000000,10.760000000000000,44.979999999999997,18.024394499052981,0,0,0,0,25,20,22,15,22,9,11,12,14,8,11,13,13,15,10,14,17,17,13,13,7
E00005416,E01001091,Croydon,Croydon 004E,90.4000,2.4000,29780.596,"2","3","3","1","1","5","4","1","4","4",0.000000000000000,0.000000000000000,0.000000000000000,4901.341,16.46,0,0,0,5,0,0,0,1,5,5,2,34.360624585832866,3,4,"1","4","3","2",5,2,3,22.943999999999999,10.412870407104492,25.420879364013672,0.003792851469653,50.713989429648777,100.000000000000000,4.380000000000000,8.190000000000000,4.300000000000000,2.650000000000000,66.819999999999993,18.081246234280268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005942,E01001191,Croydon,Croydon 008D,101.3000,2.1000,41822.029,"5","4","5","5","5","5","4","4","4","3",0.000000000000000,4.657707562911606,0.000000000000000,1399.967,3.35,0,0,0,0,4,5,5,1,2,5,5,35.788988494873045,5,3,"4","1","5","5",5,19,5,8.039999999999999,10.771059989929199,28.702320098876953,0.019533569623929,16.505025483196317,97.000000000000000,7.350000000000000,3.240000000000000,3.290000000000000,19.309999999999999,62.020000000000003,18.046720968578256,0,1,0,0,34,25,30,20,30,10,15,15,20,14,14,20,20,18,13,18,24,24,20,20,11
E00005945,E01001191,Croydon,Croydon 008D,110.0000,1.7000,14285.979,"5","4","5","5","5","5","4","4","4","3",0.000000000000000,0.000000000000000,0.000000000000000,1676.565,11.74,0,0,0,0,0,0,0,1,5,5,3,36.075956726074217,5,,"4","1","5","5",0,1,2,8.039999999999999,10.771059989929199,28.702320098876953,0.019533569623929,16.505025483196317,97.000000000000000,7.350000000000000,3.240000000000000,3.290000000000000,19.309999999999999,62.020000000000003,18.046720968578256,0,0,0,0,34,25,30,15,28,10,15,12,17,14,14,15,15,13,10,15,24,24,20,20,11
E00004879,E01000982,Croydon,Croydon 017C,107.2000,2.1000,23237.469,"3","3","3","4","3","5","4","3","3","5",0.000000000000000,14.882809831250643,20.173478192504842,4167.342,17.93,0,0,0,0,4,0,0,1,1,1,2,35.841437530517581,5,3,"5","1","3","4",0,1,2,10.786000000000000,10.373909950256348,25.162359237670898,0.015015815622359,39.266721682005631,100.000000000000000,8.350000000000000,3.430000000000000,3.230000000000000,14.289999999999999,48.310000000000002,18.145519640480735,0,0,0,0,26,20,23,10,22,11,14,11,14,11,12,14,15,12,11,14,20,20,15,15,9
E00005112,E01001026,Croydon,Croydon 043D,62.4000,2.6000,46393.584,"3","1","1","3","3","5","1","4","1","3",0.000000000000000,3.200838110398266,0.196622587364814,874.041,1.88,5,0,0,0,4,5,0,1,2,2,5,31.362074925349308,1,3,"5","3","1","3",0,0,1,16.352000000000000,9.481477737426758,19.915050506591797,0.008388030494242,37.678850035086761,100.000000000000000,7.770000000000000,5.850000000000000,0.560000000000000,17.559999999999999,23.539999999999999,18.040040731764833,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005193,E01001047,Croydon,Croydon 027D,82.4000,2.0000,25957.995,"2","5","4","4","4","5","4","3","3","3",0.000000000000000,0.000000000000000,2.306071689543375,3120.078,12.02,0,0,0,0,4,0,0,1,5,2,3,34.199716840471538,3,3,"4","2","4","2",0,0,1,18.785000000000000,10.823539733886719,27.309230804443359,0.012050714038257,28.844890389822002,100.000000000000000,7.440000000000000,4.320000000000001,3.800000000000000,10.760000000000000,44.979999999999997,18.024394499052981,0,0,0,0,25,20,22,10,21,9,11,8,10,8,11,13,13,14,10,14,17,17,13,13,7
E00005115,E01001029,Croydon,Croydon 038B,32.0000,2.9000,152705.702,"2","4","4","1","3","5","3","2","3","2",0.000000000000000,0.000000000000000,0.000000000000000,38677.245,25.33,5,5,0,5,4,0,0,1,5,5,1,32.216381788253784,1,5,"3","5","4","2",0,3,4,20.430000000000000,10.542340278625488,26.946460723876953,0.004258550743384,41.349177454944915,100.000000000000000,6.400000000000000,11.230000000000000,2.120000000000000,7.550000000000000,45.500000000000000,17.817321482904468,0,0,1,1,28,19,21,6,18,9,11,6,8,5,12,12,10,10,9,13,16,21,13,18,18
E00005194,E01001044,Croydon,Croydon 023A,89.1000,2.0000,30996.151,"1","4","4","2","5","3","4","2","4","3",0.000000000000000,17.222078728777731,0.000000000000000,12806.043,41.31,5,5,0,0,4,0,0,1,1,5,1,32.346673647562660,1,3,"2","5","4","1",0,3,4,26.827000000000002,10.687709808349609,26.730339050292969,0.007264254340960,21.175805906618518,57.000000000000000,5.780000000000000,9.920000000000000,2.980000000000000,4.770000000000000,58.869999999999997,18.024394499052981,0,0,1,1,28,20,21,8,18,8,9,7,8,4,10,13,10,11,9,13,15,20,13,18,17
E00005463,E01001096,Croydon,Croydon 037D,32.4000,2.9000,104495.389,"1","2","2","3","1","5","1","1","2","2",0.000000000000000,0.000000000000000,7.476274970816896,19908.443,19.05,0,0,0,0,0,0,0,1,5,1,2,32.910302162170410,2,,"2","5","2","2",0,1,2,25.224000000000000,9.971272468566895,22.164110183715820,0.008695808828314,56.746816972796552,100.000000000000000,5.600000000000000,9.580000000000000,0.840000000000000,2.240000000000000,38.759999999999998,17.949283907244045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005466,E01001097,Croydon,Croydon 037E,74.2000,1.8000,24219.051,"4","2","2","2","2","5","3","4","3","2",17.623415507449323,0.000000000000000,0.000000000000000,2452.661,10.13,0,0,0,0,4,0,0,5,5,5,3,34.720638275146484,3,3,"4","5","2","3",0,0,1,14.730000000000000,10.061149597167969,23.417219161987305,0.006992475371492,48.345686893982688,100.000000000000000,6.960000000000000,9.250000000000000,2.050000000000000,19.039999999999999,44.960000000000001,17.893310907619515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005252,E01001056,Croydon,Croydon 030D,166.7000,3.3000,24097.959,"5","1","1","5","5","5","3","5","3","5",0.000000000000000,0.000000000000000,0.000000000000000,1352.370,5.61,0,0,0,0,0,0,0,1,5,5,4,34.249549102783206,3,,"3","1","1","5",0,8,5,3.750000000000000,9.747413635253906,21.273019790649418,0.021939582277657,15.861267687594266,100.000000000000000,6.360000000000000,1.990000000000000,2.000000000000000,70.859999999999999,51.189999999999998,18.143687733071893,0,0,0,0,29,19,24,15,27,7,12,13,18,13,14,12,12,14,8,9,17,17,14,14,9
E00005255,E01001057,Croydon,Croydon 030E,117.6000,2.8000,27337.315,"5","1","1","4","4","5","3","5","4","5",0.000000000000000,0.000000000000000,0.000000000000000,2439.271,8.92,0,0,0,0,0,0,0,1,5,5,3,34.313304901123047,3,,"3","1","1","5",0,9,5,5.072000000000000,9.666595458984377,20.848239898681641,0.015023116101319,24.632665649655124,100.000000000000000,6.260000000000000,2.460000000000000,2.840000000000000,78.200000000000003,55.490000000000002,18.143687733071893,0,0,0,0,27,17,22,13,24,7,12,12,17,13,14,11,11,11,7,8,16,16,13,13,9
E00005254,E01001053,Croydon,Croydon 032A,101.0000,3.1000,36792.139,"5","1","1","2","5","5","2","5","2","5",0.000000000000000,0.000000000000000,0.000000000000000,2736.107,7.44,0,0,0,0,0,0,0,1,5,5,4,34.580839538574217,3,,"3","3","1","5",0,3,4,6.165000000000000,9.665442466735840,20.786529541015625,0.007202188526780,20.258811776517057,100.000000000000000,6.280000000000000,5.340000000000000,1.430000000000000,38.729999999999997,40.789999999999999,18.143687733071893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005257,E01001056,Croydon,Croydon 030D,82.2000,2.9000,43507.735,"5","1","1","5","5","5","3","5","3","5",0.000000000000000,0.000000000000000,0.000000000000000,3493.842,8.03,5,0,0,0,0,0,0,1,5,5,4,33.830705642700195,2,,"3","1","1","5",0,0,1,3.750000000000000,9.747413635253906,21.273019790649418,0.021939582277657,15.861267687594266,100.000000000000000,6.360000000000000,1.990000000000000,2.000000000000000,70.859999999999999,51.189999999999998,18.143687733071893,0,0,0,1,33,23,28,15,31,6,11,8,13,12,14,11,11,14,7,8,21,21,18,18,13
E00005159,E01001040,Croydon,Croydon 029E,94.1000,2.3000,30315.784,"2","3","3","5","3","5","3","2","2","2",0.000000000000000,3.191631885948928,0.000000000000000,3416.601,11.27,0,0,0,0,4,5,0,1,2,5,3,34.455623626708984,3,3,"5","1","3","3",0,2,3,13.664000000000000,10.370710372924805,25.252910614013672,0.018323411350046,36.411222824578019,100.000000000000000,7.510000000000000,3.200000000000000,2.740000000000000,8.190000000000000,40.500000000000000,17.934610759989958,0,0,0,0,23,19,21,10,21,9,11,11,13,7,10,17,14,14,9,12,18,18,13,13,6
E00005448,E01001100,Croydon,Croydon 031E,89.9000,2.3000,31138.064,"1","5","5","4","1","5","2","2","2","2",0.000000000000000,0.000000000000000,0.000000000000000,5768.134,18.52,0,0,0,0,4,5,0,1,5,5,2,33.149396657943726,2,3,"3","4","5","2",0,2,3,18.402000000000001,11.075240135192873,29.882680892944336,0.012662469498619,85.258773811707385,100.000000000000000,6.590000000000000,7.590000000000000,1.310000000000000,5.490000000000000,38.579999999999998,17.954383753167015,0,0,0,0,20,17,18,6,15,9,10,9,10,5,10,15,13,10,6,11,15,15,12,12,7
E00005443,E01001094,Croydon,Croydon 038E,11.0000,2.8000,345632.704,"1","2","2","1","2","1","2","1","3","2",0.000000000000000,2.308978118597142,0.142880380970144,129831.331,37.56,5,0,0,0,4,0,0,1,2,2,1,30.501025063650950,1,3,"1","5","2","1",0,1,2,33.445999999999998,9.884148597717285,22.511999130249023,0.001670855775377,42.904979416534715,17.000000000000000,3.880000000000000,11.340000000000000,1.000000000000000,3.160000000000000,48.390000000000001,17.817321482904468,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005441,E01001096,Croydon,Croydon 037D,42.8000,2.8000,86124.891,"1","2","2","3","1","5","1","1","2","2",0.000000000000000,3.635392471034387,3.109097764151009,16601.605,19.28,0,0,0,0,0,5,0,1,2,2,2,31.847683906555176,1,,"2","5","2","2",0,1,2,25.224000000000000,9.971272468566895,22.164110183715820,0.008695808828314,56.746816972796552,100.000000000000000,5.600000000000000,9.580000000000000,0.840000000000000,2.240000000000000,38.759999999999998,17.949283907244045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E00005449,E01001100,Croydon,Croydon 031E,43.7000,2.2000,48832.212,"1","5","5","4","1","5","2","2","2","2",0.000000000000000,0.000000000000000,0.100460532692233,8709.469,17.84,0,0,0,0,0,5,0,1,5,2,2,33.550157546997070,2,,"3","4","5","2",0,1,2,18.402000000000001,11.075240135192873,29.882680892944336,0.012662469498619,85.258773811707385,100.000000000000000,6.590000000000000,7.590000000000000,1.310000000000000,5.490000000000000,38.579999999999998,17.954383753167015,0,0,0,0,20,17,18,6,15,9,10,8,9,5,10,15,13,7,3,8,15,15,12,12,7
E00005821,E01001168,Croydon,Croydon 024E,83.5000,2.4000,42233.345,"2","4","4","3","4","5","4","2","3","5",0.000000000000000,2.987005377591407,0.004770529716874,7562.817,17.91,5,0,0,5,0,5,0,1,2,2,2,34.481678009033203,3,4,"2","3","4","5",0,5,4,8.840999999999999,10.620659828186035,26.356630325317383,0.008650878596588,32.194338052007019,100.000000000000000,5.110000000000000,5.110000000000000,2.890000000000000,8.320000000000000,45.090000000000003,18.167407528318773,0,0,0,1,28,24,26,9,24,8,10,10,12,7,9,17,11,13,11,15,19,19,17,17,13
E00004870,E01000982,Croydon,Croydon 017C,132.3000,2.6000,19602.884,"3","3","3","4","3","5","4","3","3","5",0.000000000000000,0.000000000000000,0.000000000000000,875.852,4.47,0,0,0,0,0,0,0,1,5,5,5,35.020128038194443,4,,"5","1","3","4",0,0,1,10.786000000000000,10.373909950256348,25.162359237670898,0.015015815622359,39.266721682005631,100.000000000000000,8.350000000000000,3.430000000000000,3.230000000000000,14.289999999999999,48.310000000000002,18.145519640480735,0,0,0,0,25,19,22,10,24,10,13,9,12,10,12,13,14,12,7,10,19,19,14,14,8
E00005825,E01001166,Croydon,Croydon 024D,119.0000,2.3000,29471.457,"4","5","5","4","3","5","4","5","3","3",0.000000000000000,0.000000000000000,0.000000000000000,2672.288,9.07,0,0,0,0,4,0,0,1,5,5,3,34.966770935058591,4,3,"4","3","5","5",5,7,5,8.127000000000002,13.245510101318359,41.280059814453125,0.011051684166093,36.091153706932559,100.000000000000000,6.870000000000000,4.990000000000000,3.460000000000000,31.390000000000001,53.390000000000001,17.998127750159234,0,0,0,0,30,21,25,16,23,11,15,13,17,13,16,14,15,13,10,15,21,21,17,17,11
E00004873,E01000976,Croydon,Croydon 022B,137.1000,2.6000,26647.684,"4","4","4","4","5","5","5","3","3","4",0.000000000000000,0.000000000000000,0.000000000000000,2741.582,10.29,0,0,0,0,0,5,0,1,5,5,3,35.971524047851560,5,,"5","2","4","4",0,2,3,9.722000000000000,10.500559806823730,26.045089721679688,0.012067177871425,19.377270028865144,100.000000000000000,8.289999999999999,3.960000000000000,5.730000000000000,15.170000000000000,47.850000000000001,18.116822726254004,0,0,0,0,30,23,27,13,26,12,16,12,16,12,14,22,16,12,10,14,22,22,17,17,11
E00174923,E01001117,Croydon,Croydon 015C,151.8000,2.7000,27693.785,"3","4","4","1","5","5","5","4","5","5",2.316189813603008,0.000000000000000,0.000000000000000,2161.478,7.80,0,0,0,0,0,0,0,5,5,5,4,36.253086090087891,5,,"3","1","4","4",0,6,4,10.443000000000000,10.582759857177734,26.218839645385746,0.000000000000000,19.488402433644868,100.000000000000000,6.430000000000000,2.880000000000000,4.830000000000000,22.090000000000000,78.310000000000002,18.154664527831414,0,0,0,0,27,20,23,9,23,9,12,10,13,12,11,14,10,10,10,14,16,16,13,13,9
E00005479,E01001099,Croydon,Croydon 040D,93.2000,2.5000,38043.745,"3","5","5","4","1","5","2","4","1","1",0.000000000000000,2.133001756419691,3.445707455188357,4909.193,12.90,0,0,0,5,0,5,0,1,2,2,3,33.951108551025392,3,4,"4","2","5","2",0,0,1,25.020000000000000,11.129670143127441,29.189540863037109,0.011706284086808,58.128129099116506,100.000000000000000,6.960000000000000,4.300000000000000,1.110000000000000,23.960000000000001,34.710000000000001,17.800429094800098,0,0,0,0,25,18,21,8,19,9,12,8,11,10,13,15,13,12,8,13,19,19,15,15,8
